Country, No. Artists, No. Labels
Albania,62,4
Algeria,186,4
Andorra,11,4
Argentina,2268,270
Armenia,131,5
Australia,8011,1245
Austria,3293,389
Azerbaijan,55,1
Bahamas,25,5
Bangladesh,108,15
Barbados,20,4
Belarus,315,45
Belgium,3659,775
Belize,42,2
Benin,49,1
Bermuda,8,1
Bolivia,70,9
Bosnia and Herzegovina,103,10
Botswana,15,2
Brazil,4052,524
Bulgaria,371,43
Cambodia,49,2
Cameroon,57,4
Canada,10240,1814
Cape Verde,65,2
Chile,605,82
China,1287,124
Colombia,550,95
Costa Rica,83,8
Croatia,491,50
Cuba,677,18
Cyprus,210,15
Czech Republic,2666,303
Czechoslovakia,95,8
Côte d'Ivoire,43,1
Democratic Republic of the Congo,126,4
Denmark,4669,515
Dominican Republic,140,6
East Germany,98,9
Ecuador,91,14
Egypt,165,28
El Salvador,9,1
Estonia,7248,363
Ethiopia,38,3
Faroe Islands,97,2
Finland,13618,1378
France,19446,3233
French Polynesia,6,1
Gabon,7,2
Georgia,108,4
Germany,30561,5749
Ghana,153,7
Greece,6478,389
Greenland,23,11
Guadeloupe,64,10
Guatemala,133,6
Guernsey,10,1
Guinea,61,1
Guyana,7,1
Haiti,104,6
Honduras,20,3
Hong Kong,861,172
Hungary,1723,154
Iceland,805,83
India,2111,150
Indonesia,1560,119
Iran,222,14
Ireland,1892,260
Isle of Man,30,5
Israel,1205,178
Italy,12540,2109
Jamaica,1203,160
Japan,29450,4207
Jersey,22,2
Jordan,23,1
Kazakhstan,84,1
Kenya,100,10
Kuwait,7,1
Laos,32,1
Latvia,4247,83
Lebanon,102,10
Liechtenstein,13,5
Lithuania,588,62
Luxembourg,114,30
Macedonia,136,21
Madagascar,106,2
Malawi,18,1
Malaysia,439,78
Mali,242,4
Malta,102,9
Martinique,51,2
Mauritius,27,5
Mexico,1763,253
Moldova,62,5
Monaco,8,5
Mongolia,46,2
Montenegro,10,2
Morocco,296,3
Mozambique,18,1
Myanmar,39,2
Namibia,24,1
Nepal,40,6
Netherlands,7139,1581
Netherlands Antilles,8,1
New Caledonia,30,6
New Zealand,2666,334
Nicaragua,23,1
Nigeria,218,17
Norway,3786,575
Pakistan,227,7
Palestine,36,2
Panama,82,3
Paraguay,82,4
Peru,360,42
Philippines,438,49
Poland,4618,624
Portugal,1366,272
Puerto Rico,456,48
Romania,790,105
Russia,5399,888
Réunion,127,9
San Marino,6,1
Saudi Arabia,9,7
Senegal,199,8
Serbia,503,40
Serbia and Montenegro,5,23
Seychelles,6,2
Singapore,286,64
Slovakia,1174,91
Slovenia,1079,130
South Africa,1516,192
South Korea,3654,475
Soviet Union,478,4
Spain,10039,1321
Sri Lanka,26,5
Sudan,19,1
Suriname,7,2
Swaziland,3,2
Sweden,11461,1774
Switzerland,4052,579
Syria,27,2
Taiwan,666,162
Thailand,183,42
Trinidad and Tobago,120,10
Tunisia,84,2
Turkey,4129,397
U.S. Virgin Islands,26,6
Uganda,33,2
Ukraine,1053,131
United Arab Emirates,17,12
United Kingdom,41229,9453
United States,90648,18676
United States Minor Outlying Islands,3,4
Uruguay,281,18
Venezuela,295,35
Vietnam,350,33
Yugoslavia,113,26
Zambia,32,3
Åland Islands,4,1
