Genre, No. Artists, No. Labels
punk, 7467, 160
production music, 6023, 517
rock, 4160, 74
uk, 3734, 152
classical, 2954, 46
composer, 2360, 2
england, 2345, 48
folk, 2288, 30
usa, 2275, 131
pop, 2249, 59
hip hop, 1885, 75
british, 1794, 71
electronic, 1683, 84
american, 1678, 89
metal, 1355, 35
french, 1324, 89
rock and indie, 1197, 1
alternative, 1197, 26
jazz, 1192, 38
english, 1182, 38
indie, 1013, 39
german, 988, 20
alternative rock, 960, 31
canadian, 939, 26
france, 871, 70
has german audiobooks, 834, 39
black metal, 832, 16
progressive rock, 759, 33
singer, 728, 4
hard rock, 723, 8
indie rock, 713, 23
germany, 696, 24
hip-hop, 687, 32
experimental, 659, 35
blues, 654, 7
country, 654, 6
producer, 629, 3
greek, 598, 40
rap, 592, 18
heavy metal, 575, 7
pop rock, 562, 8
soul, 562, 20
related-akb48, 555, 1
chinese, 546, 2
london, 544, 22
death metal, 532, 13
ambient, 522, 28
canada, 516, 29
francophone, 515, 75
electronica, 515, 30
français, 481, 63
drum and bass, 474, 184
sweden, 460, 5
thrash metal, 430, 8
dance, 412, 20
dutch, 404, 3
reggae, 400, 12
funk, 400, 8
psychedelic rock, 400, 5
finnish, 392, 2
european, 392, 5
acoustic, 383, 3
doom metal, 377, 8
soundtrack, 374, 26
italian, 345, 2
world, 342, 8
punk rock, 336, 4
danish, 335, 2
swedish, 334, 4
ska, 324, 7
electro, 322, 19
jazz and blues, 322, 1
house, 319, 29
hardcore, 319, 12
japanese, 315, 4
scotland, 314, 2
songwriter, 314, 4
blues rock, 311, 3
new wave, 297, 5
dubstep, 296, 24
indie pop, 293, 10
